# KMCs    CPU time    Old energy    New energy     barrier  Total rate   time step    Sim time    Selec Ev   Init Topo    Sad Topo    Fin Topo
# **** ***********    **********   *********** ***********  **********  ********** *********** *********** *********** *********** ***********
    85  0.3914E+05    -2338.4247    -2338.3995      0.8529  0.6845E+09  0.2098E-09  0.7755E-07      567966       21787      955261     1065766
    86  0.3915E+05    -2338.3995    -2338.4247      0.8276  0.4719E+09  0.4330E-08  0.8188E-07     1240439     1065766      578224       21787
    87  0.3916E+05    -2338.4247    -2338.3995      0.8529  0.6849E+09  0.2662E-08  0.8454E-07      567966       21787      578224     1065766
    88  0.3916E+05    -2338.3995    -2338.4855      0.9717  0.4719E+09  0.6062E-09  0.8515E-07      582362      598058      295486     1027867
    89  0.3998E+05    -2338.4855    -2338.3048      1.0198  0.2604E+09  0.2082E-08  0.8723E-07      736030      443177     1085816      160971
    90  0.4084E+05    -2338.3048    -2338.4815      0.7477  0.9913E+09  0.1928E-08  0.8916E-07      637544      759543      969944       31001
    91  0.4150E+05    -2338.4815    -2338.5466      1.0810  0.3677E+09  0.2099E-08  0.9126E-07      643049      785241     1272065     1229890
    92  0.4243E+05    -2338.5466    -2338.5483      1.0476  0.1412E+10  0.3378E-09  0.9159E-07      906845        1811     1197565     1267630
    93  0.4319E+05    -2338.5483    -2339.6679      0.3466  0.1148E+12  0.1327E-11  0.9159E-07     1039908      563947      644017      664330
    94  0.4401E+05    -2339.6679    -2339.9209      0.6832  0.1814E+10  0.6134E-09  0.9221E-07     1297982      625279      838945      915319
    95  0.4474E+05    -2339.9209    -2339.3692      0.6545  0.2426E+10  0.8513E-10  0.9229E-07     1221907      256587      686036      995902
    96  0.4551E+05    -2339.3692    -2339.7968      0.0947  0.5811E+13  0.3273E-13  0.9229E-07       48026     1107804      514422      876428
    97  0.4673E+05    -2339.7968    -2339.9209      0.5216  0.3658E+11  0.1564E-10  0.9231E-07     1150456      731823      559537     1107804
    98  0.4674E+05    -2339.9209    -2339.7968      0.6457  0.4847E+10  0.2601E-09  0.9257E-07      457768      963052       75385      923839
    99  0.4682E+05    -2339.7968    -2340.9647      0.0613  0.4560E+13  0.1452E-12  0.9257E-07      164696      236215     1017514      659021
   100  0.4830E+05    -2340.9647    -2340.9031      0.8166  0.5914E+09  0.1222E-09  0.9269E-07      953513      925216      420233      925212
   101  0.4919E+05    -2340.9031    -2341.0502      0.5996  0.5235E+10  0.4091E-10  0.9273E-07      975973      712460     1232678      120803
   102  0.4990E+05    -2341.0502    -2340.9031      0.7467  0.1002E+10  0.2771E-08  0.9550E-07      951518      120803     1232678      712460
   103  0.4991E+05    -2340.9031    -2341.0502      0.5996  0.5235E+10  0.1976E-09  0.9570E-07      975973      712460     1232678      120803
   104  0.4993E+05    -2341.0502    -2340.9031      0.7467  0.1002E+10  0.1516E-08  0.9722E-07      951518      120803     1232678      712460
   105  0.4995E+05    -2340.9031    -2341.0502      0.5996  0.5235E+10  0.1104E-08  0.9832E-07      975973      712460     1232678      120803
   106  0.4997E+05    -2341.0502    -2340.9031      0.7467  0.1002E+10  0.1540E-08  0.9986E-07      951518      120803     1232678      712460
   107  0.4998E+05    -2340.9031    -2341.0502      0.5996  0.5235E+10  0.2231E-09  0.1001E-06      975973      712460     1232678      120803
   108  0.5000E+05    -2341.0502    -2340.9031      0.7467  0.1002E+10  0.1112E-09  0.1002E-06      951518      120803     1232678      712460
   109  0.5003E+05    -2340.9031    -2341.0502      0.5996  0.5235E+10  0.2936E-09  0.1005E-06      975973      712460     1232678      120803
   110  0.5005E+05    -2341.0502    -2340.9031      0.7467  0.1002E+10  0.1229E-08  0.1017E-06      951518      120803     1232678      712460
   111  0.5006E+05    -2340.9031    -2341.0502      0.5996  0.5235E+10  0.2970E-09  0.1020E-06      975973      712460     1232678      120803
   112  0.5007E+05    -2341.0502    -2340.7341      0.8185  0.1002E+10  0.6064E-09  0.1026E-06     1231596      826328      746389      239853
   113  0.5075E+05    -2340.7341    -2341.0502      0.5024  0.1551E+11  0.6107E-10  0.1027E-06     1023159      239853      746389      826328
   114  0.5078E+05    -2341.0502    -2340.7341      0.8185  0.1002E+10  0.2229E-08  0.1049E-06     1231596      826328      746389      239853
   115  0.5080E+05    -2340.7341    -2341.0502      0.5024  0.1551E+11  0.9010E-10  0.1050E-06     1023159      239853      746389      826328
   116  0.5081E+05    -2341.0502    -2340.9031      0.7467  0.1002E+10  0.6009E-08  0.1110E-06      951518      120803     1232678      712460
   117  0.5082E+05    -2340.9031    -2341.0502      0.5996  0.5232E+10  0.5136E-09  0.1115E-06      975973      712460     1232678      120803
   118  0.5083E+05    -2341.0502    -2340.7341      0.8185  0.1002E+10  0.4395E-09  0.1120E-06     1231596      826328      746389      239853
   119  0.5084E+05    -2340.7341    -2341.0502      0.5024  0.1551E+11  0.6057E-11  0.1120E-06     1023159      239853      746389      826328
   120  0.5086E+05    -2341.0502    -2340.9031      0.7467  0.1002E+10  0.3002E-08  0.1150E-06      951518      120803     1232678      712460
   121  0.5088E+05    -2340.9031    -2341.0502      0.5996  0.5232E+10  0.4992E-10  0.1150E-06      975973      712460     1232678      120803
   122  0.5089E+05    -2341.0502    -2340.9031      0.7467  0.1002E+10  0.4866E-09  0.1155E-06      951518      120803     1232678      712460
   123  0.5090E+05    -2340.9031    -2341.0502      0.5996  0.5232E+10  0.2104E-09  0.1157E-06      975973      712460     1232678      120803
   124  0.5091E+05    -2341.0502    -2340.9031      0.7467  0.1002E+10  0.3867E-09  0.1161E-06      951518      120803     1232678      712460
   125  0.5091E+05    -2340.9031    -2341.0502      0.5996  0.5233E+10  0.9330E-10  0.1162E-06      975973      712460     1232678      120803
   126  0.5093E+05    -2341.0502    -2340.7341      0.8185  0.1002E+10  0.1615E-08  0.1178E-06     1231596      826328      746389      239853
   127  0.5093E+05    -2340.7341    -2341.0502      0.5024  0.1551E+11  0.1296E-10  0.1178E-06     1023159      239853      746389      826328
   128  0.5096E+05    -2341.0502    -2340.9031      0.7467  0.1002E+10  0.3579E-10  0.1179E-06      951518      120803     1232678      712460
   129  0.5099E+05    -2340.9031    -2341.0502      0.5996  0.5232E+10  0.2423E-10  0.1179E-06      975973      712460     1232678      120803
   130  0.5100E+05    -2341.0502    -2340.9031      0.7467  0.1002E+10  0.2938E-10  0.1179E-06      951518      120803     1232678      712460
   131  0.5101E+05    -2340.9031    -2341.0502      0.5996  0.5232E+10  0.1863E-09  0.1181E-06      975973      712460     1232678      120803
   132  0.5102E+05    -2341.0502    -2340.7341      0.8185  0.1002E+10  0.7096E-09  0.1188E-06     1231596      826328      746389      239853
   133  0.5102E+05    -2340.7341    -2341.0502      0.5024  0.1551E+11  0.1770E-09  0.1190E-06     1023159      239853      746389      826328
   134  0.5104E+05    -2341.0502    -2340.9031      0.7467  0.1002E+10  0.1780E-09  0.1192E-06      951518      120803     1232678      712460
   135  0.5105E+05    -2340.9031    -2341.0502      0.5996  0.5232E+10  0.8634E-10  0.1193E-06      975973      712460     1232678      120803
